semester_code,department,course_id,section,course_name,target_unit,grade_level,course_type,credits,cutoff_weight,year_roc,semester,year_ad,semester_ordinal,course_key,prev_1_weight,prev_2_weight,avg_weight_3sem,avg_weight_all,weight_volatility,semesters_offered,weight_trend,is_required,dept_cluster,popularity_tier,oversubscription_ratio,domain_category,prev_1_oversub_ratio,prev_2_oversub_ratio,avg_oversub_ratio_3sem,prev_1_remaining_spots,demand_trend,instructor_avg_cutoff,instructor_course_count,is_prime_time,num_time_slots
1012,一般通識組,00000006,,東亞近代史,B00-一般通識組1,1,選修,2.0,0.0,101,2,2012,1,00000006||B00-一般通識組1,,,,,,1,,0,通識,medium,,N/A,,,,,,,,,
1012,一般通識組,00000522,,鉅變時代的知識管理,B00-一般通識組2,2,選修,2.0,0.0,101,2,2012,1,00000522||B00-一般通識組2,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,體育教學組,0099003b,B,體育-游泳,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099003b|B|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000341,A,山海經與神話,B00-一般通識組1,1,選修,2.0,28.0,101,2,2012,1,00000341|A|B00-一般通識組1,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000069,,情緒管理,B00-一般通識組2,2,選修,2.0,18.0,101,2,2012,1,00000069||B00-一般通識組2,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000524,,歷史與宗教,B00-一般通識組1,1,選修,2.0,12.0,101,2,2012,1,00000524||B00-一般通識組1,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,一般通識組,00000239,,運動生物學概論,B00-一般通識組2,2,選修,2.0,36.0,101,2,2012,1,00000239||B00-一般通識組2,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,體育教學組,0099002k,K,體育-羽球,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099002k|K|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000406,,論語與現代社會,B00-一般通識組1,1,選修,2.0,40.0,101,2,2012,1,00000406||B00-一般通識組1,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000526,,《金瓶梅》與情愛關係探討,B00-一般通識組1,1,選修,2.0,44.0,101,2,2012,1,00000526||B00-一般通識組1,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000070,,飲食與文化,B00-一般通識組2,2,選修,2.0,20.0,101,2,2012,1,00000070||B00-一般通識組2,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000341,B,山海經與神話,B00-一般通識組1,1,選修,2.0,19.0,101,2,2012,1,00000341|B|B00-一般通識組1,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,體育教學組,0099002i,I,體育-羽球,B99-體育教學組1,1,必修,0.0,10.0,101,2,2012,1,0099002i|I|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000528,,當代英國小說與文化,B00-一般通識組1,1,選修,2.0,1.0,101,2,2012,1,00000528||B00-一般通識組1,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,一般通識組,00000529,,文學、帝國與醫學想像,B00-一般通識組1,1,選修,2.0,0.0,101,2,2012,1,00000529||B00-一般通識組1,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,體育教學組,0099002h,H,體育-羽球,B99-體育教學組1,1,必修,0.0,20.0,101,2,2012,1,0099002h|H|B99-體育教學組1,,,,,,1,,1,體育,medium,,N/A,,,,,,,,,
1012,一般通識組,00000535,,西遊記,B00-一般通識組1,1,選修,2.0,15.0,101,2,2012,1,00000535||B00-一般通識組1,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,體育教學組,0099002j,J,體育-羽球,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099002j|J|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000542,,跨領域醫病溝通案例討論,B00-一般通識組2,2,選修,2.0,24.0,101,2,2012,1,00000542||B00-一般通識組2,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,一般通識組,00000340,,故事學,B00-一般通識組1,1,選修,2.0,30.0,101,2,2012,1,00000340||B00-一般通識組1,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,體育教學組,0099003h,H,體育-游泳,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099003h|H|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,體育教學組,0099008g,G,體育-桌球,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099008g|G|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000494,,歐洲社會與文化,B00-一般通識組2,2,選修,2.0,5.0,101,2,2012,1,00000494||B00-一般通識組2,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,一般通識組,00000041,,醫院管理學,B00-一般通識組2,2,選修,2.0,11.0,101,2,2012,1,00000041||B00-一般通識組2,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,體育教學組,0099008e,E,體育-桌球,B99-體育教學組1,1,必修,0.0,0.0,101,2,2012,1,0099008e|E|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,體育教學組,0099008d,D,體育-桌球,B99-體育教學組1,1,必修,0.0,5.0,101,2,2012,1,0099008d|D|B99-體育教學組1,,,,,,1,,1,體育,low,,N/A,,,,,,,,,
1012,一般通識組,00000334,,認識非營利組織,B00-一般通識組1,1,選修,2.0,0.0,101,2,2012,1,00000334||B00-一般通識組1,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,一般通識組,00000047,,英文寫作,B00-一般通識組2,2,選修,2.0,70.0,101,2,2012,1,00000047||B00-一般通識組2,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000162,,變態心理學,B00-一般通識組2,2,選修,2.0,20.0,101,2,2012,1,00000162||B00-一般通識組2,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000166,,音樂治療概論,B00-一般通識組1,1,選修,2.0,15.0,101,2,2012,1,00000166||B00-一般通識組1,,,,,,1,,0,通識,very_high,,N/A,,,,,,,,,
1012,一般通識組,00000513,A,多元文化中的數學思維,B00-一般通識組1,1,選修,2.0,0.0,101,2,2012,1,00000513|A|B00-一般通識組1,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
1012,一般通識組,00000059,,詩詞欣賞,B00-一般通識組1,1,選修,2.0,2.0,101,2,2012,1,00000059||B00-一般通識組1,,,,,,1,,0,通識,high,,N/A,,,,,,,,,
1012,一般通識組,00000513,B,多元文化中的數學思維,B00-一般通識組1,1,選修,2.0,1.0,101,2,2012,1,00000513|B|B00-一般通識組1,,,,,,1,,0,通識,low,,N/A,,,,,,,,,
